tiempo_ps,temperatura_K,energia_potencial_kJ,densidad_g_mL,rmsd_CA_A,d_PG_O6_A,d_PG_O3B_A,d_O6_OD1asp205_A,d_O6_OD2asp205_A,d_Mg_PG_A,d_NZlys169_O6_A
10.000000000047748,301.1067754838211,-750998.8455151198,1.028626914144803,1.0676258,3.3384614,1.499013,4.3272653,5.1496882,2.5162344,4.0166254
20.000000000095497,301.1930784755243,-750748.7476928034,1.0334432417800683,0.9548347,3.5189393,1.5306443,4.52961,5.095789,2.5601804,4.1819963
30.000000000143245,301.0895148854804,-749559.618186933,1.0313186576920406,1.0638413,3.4784021,1.5425606,4.323916,4.594121,2.5409045,3.8543382
40.000000000190994,301.0926761672278,-749953.311033342,1.0301156732108712,1.1260186,3.470262,1.5723338,4.5605383,5.041428,2.5484343,3.755368
50.00000000023874,300.6139316594058,-749693.2115264526,1.02991613133563,1.1022229,3.4885871,1.4898529,4.158965,4.4154887,2.4946055,3.9774203
60.00000000028649,300.3404807882582,-751010.6960274945,1.0334222189955875,1.0915352,3.451868,1.6000344,4.3070884,4.6664877,2.5550702,4.1046147
70.00000000033424,300.6169664898833,-749982.3413502849,1.0286733979089508,1.1053896,3.522259,1.5567372,4.32175,4.663915,2.6086152,3.8394666
80.00000000038199,299.2519250313682,-750049.6159209609,1.0319123298947943,1.0249146,3.3732457,1.5381956,4.23503,4.8954487,2.5693874,4.2998796
90.00000000042974,301.5196704928453,-751399.5589139252,1.032230654198924,1.0195488,3.3578296,1.5369524,4.0254874,4.706429,2.5458426,3.5992894
100.00000000047748,299.2469618190248,-750437.8666387764,1.0295513715559752,1.0365491,3.5332646,1.5312414,4.2119565,4.591735,2.5303652,3.614615
110.00000000052523,298.2363948828425,-750812.2049033451,1.026713443029957,1.155016,3.5282812,1.597995,4.2484026,4.8585258,2.512422,4.3218904
120.00000000057298,299.9851527198536,-751104.0547182229,1.0324752123798475,1.1113573,3.4088707,1.5818856,4.45003,4.877804,2.5646744,4.070367
130.0000000006208,297.8651971800661,-751062.1373677542,1.0339619763764636,1.2060343,3.3093069,1.5013398,3.9013646,4.7556705,2.5712624,3.3888543
140.00000000066848,299.85231566082905,-751312.3385990746,1.0321272546720406,1.2072822,3.4047813,1.5153551,4.3498664,5.0850325,2.599321,3.7628894
150.00000000071623,301.0884400496863,-747706.3853573445,1.03100607957982,1.1051463,3.2432752,1.544846,3.9767814,4.241714,2.528266,4.032919
160.00000000076398,301.36277607972323,-751766.9394365652,1.0329293039338383,1.1816657,3.4008584,1.5519569,4.322607,4.447691,2.4649456,3.7357137
170.00000000081172,298.6717666050905,-749866.2535260553,1.0314638983426705,1.2034007,3.334371,1.5641927,4.3203106,4.9397936,2.5458896,3.8649297
180.00000000085947,301.60723799724747,-749282.2721263142,1.0291391671717314,1.0956658,3.4307585,1.5932882,4.3520083,4.8421874,2.5170257,3.8283305
190.00000000090722,299.3815691958279,-750053.7007445055,1.0309038088393718,1.2257596,3.680514,1.5260603,4.492909,4.7977824,2.5158563,4.0278296
200.00000000095503,301.9670866985508,-750304.6068514199,1.0313474767852104,1.055366,3.352442,1.5584825,4.296486,4.717595,2.5593357,3.6940715
210.00000000100272,299.1382769525502,-750435.7702018055,1.0290752929037967,1.0136772,3.4461322,1.544702,4.106572,4.8228807,2.5587702,3.5468712
220.00000000105047,299.9603682709542,-749738.4960188381,1.033181348793209,0.97638696,3.5146835,1.5475609,4.5731187,5.0266433,2.7351177,3.8993788
230.00000000087078,299.7109431410866,-749197.0456112367,1.03012760958837,1.0164322,3.486632,1.5985823,4.444477,4.801597,2.5499525,4.1545115
240.00000000063432,301.4322926653479,-749664.5577102471,1.027618994393067,1.0103829,3.4464896,1.5474379,4.1448474,4.767327,2.5684385,4.2885036
250.00000000039785,298.6751807893777,-751858.795687702,1.0291134478912562,1.0164322,3.3877656,1.5357766,4.1230316,4.800169,2.6080785,3.9208908
260.0000000001614,300.78135314074666,-750348.6290739533,1.032977385596764,1.1383678,3.5045662,1.5487276,4.3306274,5.0784974,2.6218848,4.45221
269.9999999999249,299.3962375431357,-751440.5871746498,1.0336877815913357,1.2059007,3.6061325,1.4636589,4.366282,4.672584,2.5438735,3.3560581
279.99999999968844,297.83481726247385,-749736.612267192,1.029740422114803,1.2034454,3.3929775,1.5244085,4.5110087,5.2208977,2.628117,4.0030746
289.999999999452,301.77943301402684,-749224.8932594489,1.0314200941866432,1.13202,3.3329668,1.5071423,4.2410583,4.651643,2.5906696,3.625482
299.9999999992155,299.67983612869244,-751794.8610552596,1.0302709752465222,1.25588,3.554143,1.5629146,4.722789,4.81456,2.5990977,3.7236788
309.99999999897904,299.44779804843535,-750084.9276933055,1.0278316511937846,1.2025068,3.4935565,1.6018875,4.5179925,5.202615,2.5869262,3.5965717
319.99999999874257,300.3428833623862,-750430.9505666178,1.0316960927091297,1.0715976,3.4155595,1.547024,4.2127614,4.9504595,2.5826774,3.8862536
329.9999999985061,300.5126441922201,-751531.6190683707,1.0314298072326165,1.0295215,3.2961755,1.5488268,4.20045,5.0117593,2.5463443,3.9603736
339.99999999826963,298.57193332750853,-749790.8887669379,1.030285924701254,1.012722,3.5911868,1.5810823,4.3028092,4.715675,2.58314,4.2580357
349.99999999803316,303.01720126939273,-750437.249175801,1.0300603730752158,1.2129259,3.3988838,1.6070617,4.065723,4.494677,2.5634813,4.2509117
359.9999999977967,300.3774045590675,-750391.1100683017,1.0312928293823698,1.1533387,3.4578097,1.5073695,4.468894,5.0474644,2.63037,3.985074
369.9999999975602,299.47814635321015,-750686.7685090415,1.0305248257309096,1.1383678,3.5903778,1.5323986,4.665751,5.0045915,2.5039225,3.780639
379.99999999732375,299.37995694213674,-750641.6295979284,1.0330012883173856,1.1474956,3.5642953,1.5266414,4.242136,4.9118037,2.5575442,4.115458
389.9999999970873,298.1873950157582,-748980.7415940426,1.029171042307166,1.2125711,3.3619814,1.5127462,4.02226,4.4110594,2.5495121,3.8580885
399.9999999968508,298.86776607342756,-749364.9135343111,1.0292542533978355,1.1833483,3.5541224,1.499085,4.5696697,4.8148456,2.5568514,3.910612
409.99999999661435,298.9671251587475,-749218.7481752611,1.031121840216019,1.0413625,3.3669474,1.5065448,4.424411,4.772221,2.469398,3.897067
419.9999999963779,298.71687809562553,-751753.2707545985,1.0310245623337908,1.0812395,3.4680102,1.5312476,4.213489,4.7557406,2.6039877,3.3805492
429.9999999961414,299.61964532422246,-750977.7696129279,1.0317215223642544,1.1448213,3.312922,1.522447,3.896254,4.4388165,2.5692549,4.2422614
