cuadro,xi,energia_kcal,energia_rel_kcal
0,-1.7262373044917376,-1512.49318,-0.4845299999999497
1,-1.7262373044917376,-1512.4931799999997,-0.48452999999972235
2,-1.7262373044917376,-1512.4931799999997,-0.48452999999972235
3,-1.7165323586173662,-1512.3986299999997,-0.3899799999996958
4,-1.7088481273811886,-1512.4406499999998,-0.431999999999789
5,-1.7023680754698844,-1512.3733,-0.36464999999998327
6,-1.6928624957042002,-1512.33826,-0.3296100000000024
7,-1.6819459147720974,-1512.10691,-0.09825999999998203
8,-1.6761998490526584,-1511.73031,0.2783400000000711
9,-1.6809378614124073,-1511.88156,0.12708999999995285
10,-1.6861181137314363,-1511.8866699999999,0.12198000000012144
11,-1.6912402225228471,-1511.7856,0.22305000000005748
12,-1.692783929358006,-1511.6796,0.329050000000052
13,-1.6932228609733067,-1511.64955,0.3590999999998985
14,-1.6941496988836977,-1511.35525,0.6533999999999196
15,-1.6581690434996246,-1509.6332,2.3754500000000007
16,-1.6181941989766524,-1508.4184399999997,3.5902100000002974
17,-1.573727426017635,-1507.5815499999999,4.4271000000001095
18,-1.526432890005326,-1506.77861,5.230039999999917
19,-1.482330706133566,-1505.98742,6.02123000000006
20,-1.4428126500821643,-1505.1545999999998,6.854050000000143
21,-1.400151095360486,-1503.47445,8.534200000000055
22,-1.3523391958797517,-1502.25877,9.749880000000076
23,-1.2964869507122156,-1500.83478,11.173870000000079
24,-1.2463643631329082,-1499.7022999999997,12.306350000000293
25,-1.1782274405144861,-1498.5353,13.473349999999982
26,-1.1046703041746442,-1496.91386,15.094789999999875
27,-1.0297380118334145,-1495.89518,16.113470000000007
28,-0.9443200303058341,-1495.6898,16.318849999999884
29,-0.8686981934007245,-1494.83998,17.16867000000002
30,-0.7945942986472654,-1494.40349,17.60516000000007
31,-0.7238513954792336,-1494.33261,17.676040000000057
32,-0.663787674478012,-1493.1552099999997,18.85344000000032
33,-0.5088719639954646,-1492.2190299999997,19.78962000000024
34,-0.34720200886216546,-1491.66442,20.344229999999925
35,-0.2866760015175438,-1491.3590499999998,20.64960000000019
36,-0.2689814907420338,-1491.2438499999998,20.76480000000015
37,-0.2689814907420338,-1491.2438499999998,20.76480000000015
38,-0.01603984601046582,-1490.87556,21.13309000000004
39,0.23666177826783374,-1491.7724399999997,20.236210000000256
40,0.23666177826783374,-1491.7724399999997,20.236210000000256
41,0.2500799216143197,-1492.01904,19.989610000000084
42,0.29402365038662803,-1492.17063,19.838019999999915
43,0.41436102277764975,-1492.56619,19.442459999999983
44,0.563745359513363,-1494.47268,17.535969999999907
45,0.6885845233642789,-1495.46756,16.54108999999994
46,0.8096986361246621,-1496.9841899999997,15.024460000000317
47,0.9301957817068711,-1498.12177,13.88688000000002
48,1.039062937798024,-1498.72164,13.28701000000001
49,1.1434791319713604,-1499.6823599999998,12.3262900000002
50,1.2438838548107223,-1500.0841799999998,11.924470000000156
51,1.3362774422919765,-1500.4940699999997,11.514580000000251
52,1.4236366885992964,-1501.09524,10.913409999999885
53,1.498487714702706,-1501.8606,10.148050000000012
54,1.5638418974850263,-1501.9354,10.073249999999916
55,1.6185593462939896,-1502.23078,9.777869999999893
56,1.6368974773315441,-1502.55903,9.449620000000095
57,1.6543305225805862,-1502.54178,9.466869999999972
58,1.6577904084421957,-1502.94256,9.066090000000031
59,1.6672216435747629,-1503.08303,8.92561999999998
60,1.6677334933867556,-1504.36711,7.641540000000077
61,1.6557552781235356,-1503.90387,8.104779999999892
62,1.6521061183431254,-1504.72237,7.286280000000033
63,1.6517657177937803,-1504.72124,7.287409999999909
64,1.654272780567711,-1504.94258,7.066070000000082
65,1.6811553509916533,-1505.12506,6.883589999999913
66,1.738689018416863,-1506.4344699999997,5.574180000000297
67,1.7602470789398401,-1506.8315699999998,5.17708000000016
68,1.7543276647505461,-1506.7536499999999,5.255000000000109
69,1.7576261691177082,-1506.97624,5.032410000000027
70,1.7591306638368953,-1507.2329,4.775750000000016
71,1.7779311882058657,-1507.1535399999998,4.855110000000195
72,1.8042099997449281,-1507.9836799999998,4.024970000000167
73,1.8294383334361533,-1508.64193,3.3667199999999866
74,1.8643738438281507,-1509.6763,2.3323499999999058
75,1.9154681985425726,-1510.31849,1.690159999999878
76,1.9736667443999703,-1510.2030299999997,1.8056200000003173
77,2.031955481284462,-1510.3373599999998,1.6712900000002264
78,2.0853533779403186,-1510.3082899999997,1.7003600000002734
79,2.1348406428881996,-1510.87861,1.1300400000000081
80,2.187172426373312,-1512.82589,-0.8172400000000835
81,2.2175392363602517,-1513.06669,-1.058040000000119
82,2.2441404047480216,-1513.57845,-1.5697999999999865
83,2.2678401740646903,-1514.4833799999997,-2.4747299999996812
84,2.29605794167859,-1515.1878499999998,-3.1791999999998097
85,2.3151433991926935,-1517.1655599999997,-5.156909999999698
86,2.333420722127223,-1517.31952,-5.310870000000023
87,2.354637873204672,-1518.65516,-6.646510000000035
88,2.366574573872664,-1518.45634,-6.447689999999966
89,2.3754848560085398,-1519.14152,-7.132869999999912
90,2.3768909808712317,-1519.3326199999997,-7.32396999999969
91,2.377755359625486,-1518.8275999999998,-6.818949999999859
92,2.384431398283938,-1519.1344299999998,-7.12577999999985
93,2.3888170719625603,-1519.53429,-7.525640000000067
94,2.389724081454472,-1519.6000099999999,-7.591359999999895
95,2.391499882153398,-1520.5039,-8.495249999999942
96,2.394202080529639,-1520.5671899999998,-8.558539999999766
97,2.394376652671503,-1520.71843,-8.70977999999991
98,2.403946248259783,-1520.24097,-8.232320000000072
99,2.4122426719822867,-1520.2641499999997,-8.255499999999756
100,2.417409471157044,-1520.14793,-8.139280000000099
101,2.422406909070185,-1520.38472,-8.376070000000027
102,2.427112349653445,-1520.4127,-8.404050000000097
103,2.425762920225258,-1520.19479,-8.186140000000023
104,2.428852106170512,-1520.24963,-8.240980000000036
105,2.4334782440098293,-1520.39272,-8.384070000000065
106,2.4368083618826724,-1520.41643,-8.407780000000002
107,2.4387848627566004,-1520.41954,-8.410890000000109
108,2.4393646871978696,-1520.43051,-8.421859999999924
109,2.4393646871978696,-1520.43051,-8.421859999999924
