cuadro,xi,energia_kcal,energia_rel_kcal
0,-1.5567837283926733,-1647.183961983355,0.0
1,-1.5567837283926733,-1647.1839619833547,2.2737367544323206e-13
2,-1.5495427084291664,-1647.157964923757,0.02599705959801213
3,-1.5314880336031147,-1647.0789557164176,0.10500626693738013
4,-1.514405453795509,-1646.9782869456562,0.2056750376987111
5,-1.5201792499803621,-1646.8681166259832,0.3158453573716997
6,-1.5385365652364316,-1646.7138799946053,0.47008198874959817
7,-1.5607482988512584,-1646.4731237417668,0.7108382415881351
8,-1.5744643729836745,-1646.1889414490931,0.9950205342618119
9,-1.5746548968872744,-1645.9995341710883,1.1844278122666765
10,-1.5573580626709245,-1645.8918598615294,1.2921021218255646
11,-1.4732067673559581,-1645.32942109687,1.8545408864849833
12,-1.3623960189920499,-1643.9146633232585,3.2692986600964105
13,-1.1988786843284067,-1641.888797232476,5.295164750878939
14,-1.0521091701212435,-1639.0420926757718,8.141869307583192
15,-0.8350674372502453,-1635.2618652834917,11.922096699863232
16,-0.43592853972708223,-1630.7710766356856,16.412885347669317
17,-0.186803341590827,-1628.906104449286,18.27785753406897
18,-0.10985655692935525,-1628.557828636877,18.6261333464779
19,-0.08492757771156301,-1628.4629080441657,18.721053939189233
20,-0.08492757771156301,-1628.4629080441657,18.721053939189233
21,0.12389971076109862,-1628.0545928270624,19.12936915629257
22,0.33345671013358813,-1628.2907206769323,18.893241306422624
23,0.33345671013358813,-1628.2907206769323,18.893241306422624
24,0.340575322277479,-1628.3199713115373,18.863990671817646
25,0.365577912452018,-1628.3940606150877,18.789901368267238
26,0.4354540408662786,-1628.755653377738,18.42830860561685
27,0.541679641821059,-1629.0919766619868,18.091985321368156
28,0.6357570626672087,-1629.3513088710133,17.83265311234163
29,0.6980230900875701,-1629.5951807648735,17.588781218481472
30,0.7463513656374834,-1629.7558293746135,17.428132608741407
31,0.7864221922715295,-1629.886988116464,17.296973866890994
32,0.8154244756058702,-1629.9621731980428,17.22178878531213
33,0.8289780617399225,-1630.0232169110168,17.16074507233816
34,0.8403650239577205,-1630.0541871538564,17.1297748294985
35,0.8488437440613059,-1630.0691917616266,17.11477022172835
36,0.8488437440613059,-1630.0691917616266,17.11477022172835
37,0.8488437440613059,-1630.0691917616266,17.11477022172835
