punto,xi_objetivo,energia_kcal,converged,d_PG_O6,d_PG_O3B,d_O6_H,d_OD1_H,d_Mg_O6,xi,energia_rel_kcal
0,-1.5338590679399917,-1643.4586616151726,True,3.2086062561108792,1.6747471881708875,1.016749592205484,1.6706517523846107,3.2829079948687285,-1.5338590679399917,3.7253003681823884
1,-1.299219530925871,-1642.768755075433,True,3.0258903381563385,1.703071064752346,1.0181073346850686,1.6761221253450238,3.2464830787326893,-1.3228192734039925,4.415206907921856
2,-1.0645799939117502,-1640.6575523840313,True,2.8464527531300847,1.739243159071588,1.0192440180392757,1.6833700001655973,3.2261805759603415,-1.1072095940584967,6.526409599323642
3,-0.8299404568976294,-1637.2420525685095,True,2.6709774242686595,1.783251491794035,1.023780341153031,1.6882981310874368,3.2164466157886564,-0.8877259324746245,9.94190941484544
4,-0.5953009198835086,-1632.9744244031374,True,2.5047673897589893,1.842821299511811,1.0287902900416146,1.6930601811819457,3.217488225253486,-0.6619460902471783,14.209537580217557
5,-0.36066138286938787,-1628.2350270995098,True,2.353389461987256,1.9284501063601351,1.0388738302628344,1.6862508059139973,3.244629956149956,-0.4249393556271208,18.94893488384514
6,-0.1260218458552671,-1628.9950706911336,True,2.2312271156960053,2.0785326177431918,1.052645846166257,1.6546059592798508,3.4435230559385572,-0.15269449795281353,18.188891292221342
7,0.10861769115885367,-1627.9272618761208,True,2.1032094819855867,2.207938253908377,1.0704384868634282,1.6317721679269932,3.467803300276323,0.10472877192279029,19.25670010723411
8,0.34325722817297444,-1628.4044155264658,True,1.9997725720842126,2.3538642327456123,1.09047257889294,1.6014301275258975,3.4781000391312475,0.35409166066139974,18.779546456889193
9,0.5778967651870952,-1629.4722624643164,True,1.89947222258104,2.489740218226981,1.1219022634637532,1.5344539529934167,3.462183494633799,0.5902679956459411,17.711699519038575
10,0.812536302201216,-1629.9688464733022,True,1.8168144671642183,2.6307678022773904,1.1716535156628294,1.4165318122731951,3.4456402409348197,0.813953335113172,17.215115510052783
11,1.0471758392153367,-1630.9092268927495,True,1.7113069875089473,2.765150435371789,1.5646795549781045,1.0908757543133665,3.5126840709116833,1.0538434478628418,16.274735090605418
12,1.2818153762294575,-1633.7771393138707,True,1.687469143089372,2.9773188681036613,1.628822466211159,1.0564907054197155,3.4116863717288086,1.2898497250142893,13.4068226694842
13,1.5164549132435783,-1633.54574146856,True,1.6632610561050842,3.1631046081954914,1.634151799737817,1.0509603894882267,3.4005476991534267,1.4998435520904072,13.638220514794966
14,1.7510944502576988,-1633.228126470463,True,1.6601618039214494,3.3926372497915565,1.6356150909043017,1.0529422682488014,3.3211996165065774,1.732475445870107,13.955835512892008
