instantanea,t_ps,punto,xi,energia_rel_kcal
MD 250 ps,250,0,-1.7067,0.0
MD 250 ps,250,1,-1.4304,2.683
MD 250 ps,250,2,-1.0774,7.193
MD 250 ps,250,3,-0.7319,11.264
MD 250 ps,250,4,-0.3889,14.226
MD 250 ps,250,5,-0.0698,17.868
MD 250 ps,250,6,0.2771,22.659
MD 250 ps,250,7,0.639,25.64
MD 250 ps,250,8,0.9753,25.713
MD 250 ps,250,9,1.2909,27.755
MD 250 ps,250,10,1.6155,30.644
MD 250 ps,250,11,1.9315,35.915
MD 500 ps,500,0,-1.5659,0.0
MD 500 ps,500,1,-1.2752,-0.322
MD 500 ps,500,2,-0.9501,3.032
MD 500 ps,500,3,-0.6183,5.795
MD 500 ps,500,4,-0.3092,8.54
MD 500 ps,500,5,0.0131,11.914
MD 500 ps,500,6,0.3587,12.234
MD 500 ps,500,7,0.6928,13.883
MD 500 ps,500,8,1.0263,13.639
MD 500 ps,500,9,1.3318,14.525
MD 500 ps,500,10,1.6364,16.987
MD 500 ps,500,11,1.9464,21.174
MD 750 ps,750,0,-1.7317,0.0
MD 750 ps,750,1,-1.4439,2.316
MD 750 ps,750,2,-1.1133,8.155
MD 750 ps,750,3,-0.7566,13.713
MD 750 ps,750,4,-0.4026,16.868
MD 750 ps,750,5,-0.0862,20.413
MD 750 ps,750,6,0.2528,26.142
MD 750 ps,750,7,0.6301,29.689
MD 750 ps,750,8,0.9698,28.652
MD 750 ps,750,9,1.2883,30.908
MD 750 ps,750,10,1.6118,34.741
MD 750 ps,750,11,1.9463,40.09
MD 1000 ps,1000,0,-1.7436,0.0
MD 1000 ps,1000,1,-1.4546,2.415
MD 1000 ps,1000,2,-1.1169,7.475
MD 1000 ps,1000,3,-0.768,12.916
MD 1000 ps,1000,4,-0.4117,16.328
MD 1000 ps,1000,5,-0.0924,17.693
MD 1000 ps,1000,6,0.2482,23.21
MD 1000 ps,1000,7,0.616,25.266
MD 1000 ps,1000,8,0.9517,27.561
MD 1000 ps,1000,9,1.2794,28.217
MD 1000 ps,1000,10,1.5983,32.941
MD 1000 ps,1000,11,1.9208,39.676
